content_id,title,category,length,artist
1000,Sunset Journey,Rock,557,Echo Chamber
1001,Sunset Vibes,Classical,262,Harmonic Pulse
1002,Sunrise Journey,Podcast,309,Vocal Legends
1003,Winter Melodies,Jazz,479,The Beats
1004,Midnight Melodies,Podcast,393,Echo Chamber
1005,Winter Story,Classical,258,Bass Nation
1006,Winter Melodies,Hip-Hop,551,DJ Alpha
1007,Winter Vibes,Hip-Hop,325,Melody Masters
1008,Summer Anthem,Hip-Hop,228,Harmonic Pulse
1009,Fall Melodies,Electronic,193,Melody Masters
1010,Winter Anthem,Jazz,502,Rhythm Kings
