user_id,content_id,action,event_time,device,region,session_id
101,1007,skip,2023-09-06 21:34:10,mobile,EU,s5557
175,1004,forward,2023-09-06 22:16:29,desktop,US,s3615
161,1001,pause,2023-09-06 12:36:22,tablet,EU,s5803
137,1000,forward,2023-09-06 08:00:36,tablet,APAC,s5012
177,1007,skip,2023-09-06 07:38:51,desktop,US,s9785
124,1009,skip,2023-09-06 21:48:46,tablet,APAC,s2424
180,1001,play,2023-09-06 09:50:28,mobile,APAC,s1106
193,1002,play,2023-09-06 09:20:47,desktop,US,s2535
116,1008,skip,2023-09-06 16:32:58,desktop,US,s1434
161,1004,skip,2023-09-06 03:29:04,mobile,US,s2291
192,1010,forward,2023-09-06 17:23:05,desktop,US,s1434
168,1001,forward,2023-09-06 11:43:47,tablet,EU,s5333
148,1010,skip,2023-09-06 03:43:14,desktop,US,s8527
171,1005,pause,2023-09-06 20:04:40,desktop,APAC,s7873
183,1006,play,2023-09-06 04:02:02,desktop,EU,s9935
112,1003,pause,2023-09-06 12:29:23,tablet,APAC,s5803
169,1006,pause,2023-09-06 13:41:06,desktop,APAC,s6574
135,1000,skip,2023-09-06 06:28:28,mobile,EU,s2679
187,1005,skip,2023-09-06 01:25:17,mobile,US,s4527
111,1010,pause,2023-09-06 20:40:38,mobile,US,s8359
131,1002,pause,2023-09-06 02:53:48,tablet,US,s5333
127,1003,skip,2023-09-06 04:50:57,tablet,US,s4257
118,1002,skip,2023-09-06 05:07:42,mobile,US,s2824
145,1003,skip,2023-09-06 00:11:16,mobile,US,s2139
153,1008,play,2023-09-06 23:04:30,desktop,EU,s2519
175,1001,forward,2023-09-06 16:14:39,mobile,APAC,s7201
166,1004,forward,2023-09-06 20:01:03,desktop,EU,s5552
187,1001,forward,2023-09-06 22:58:28,mobile,US,s4611
177,1002,play,2023-09-06 04:17:39,tablet,APAC,s6881
191,1005,forward,2023-09-06 19:33:18,desktop,APAC,s1711
